iter	F1	Logloss
0	0.8386146856	0.6721073865
1	0.8389919061	0.6533271618
2	0.8390253158	0.6356960391
3	0.8390311502	0.6177356294
4	0.8390528879	0.6032352105
5	0.8390194809	0.5909138994
6	0.8390194809	0.5772901253
7	0.8390746266	0.564957686
8	0.8390746266	0.5544628756
9	0.8390412204	0.5454958255
